Collision year,Vehicle type,Age Group,Percentage
1992,motorcycle-riders,age-30-to-39,59.46
1992,cars-and-other-motor-vehicles,age-30-to-39,39.74
1993,motorcycle-riders,age-30-to-39,39.13
1993,cars-and-other-motor-vehicles,age-30-to-39,55.38
1994,motorcycle-riders,age-30-to-39,48.0
1994,cars-and-other-motor-vehicles,age-30-to-39,51.95
1995,motorcycle-riders,age-30-to-39,32.14
1995,cars-and-other-motor-vehicles,age-30-to-39,49.23
1996,motorcycle-riders,age-30-to-39,34.29
1996,cars-and-other-motor-vehicles,age-30-to-39,56.52
1997,motorcycle-riders,age-30-to-39,33.33
1997,cars-and-other-motor-vehicles,age-30-to-39,55.74
1998,motorcycle-riders,age-30-to-39,42.86
1998,cars-and-other-motor-vehicles,age-30-to-39,56.06
1999,motorcycle-riders,age-30-to-39,24.59
1999,cars-and-other-motor-vehicles,age-30-to-39,63.16
2000,motorcycle-riders,age-30-to-39,25.35
2000,cars-and-other-motor-vehicles,age-30-to-39,60.71
2001,motorcycle-riders,age-30-to-39,24.64
2001,cars-and-other-motor-vehicles,age-30-to-39,51.16
2002,motorcycle-riders,age-30-to-39,22.64
2002,cars-and-other-motor-vehicles,age-30-to-39,61.63
2003,motorcycle-riders,age-30-to-39,33.93
2003,cars-and-other-motor-vehicles,age-30-to-39,60.26
2004,motorcycle-riders,age-30-to-39,33.33
2004,cars-and-other-motor-vehicles,age-30-to-39,66.27
2005,motorcycle-riders,age-30-to-39,13.39
2005,cars-and-other-motor-vehicles,age-30-to-39,32.91
2006,motorcycle-riders,age-30-to-39,12.12
2006,cars-and-other-motor-vehicles,age-30-to-39,31.39
2007,motorcycle-riders,age-30-to-39,6.6
2007,cars-and-other-motor-vehicles,age-30-to-39,31.16
2008,motorcycle-riders,age-30-to-39,12.35
2008,cars-and-other-motor-vehicles,age-30-to-39,35.09
2009,motorcycle-riders,age-30-to-39,4.84
2009,cars-and-other-motor-vehicles,age-30-to-39,33.33
2010,motorcycle-riders,age-30-to-39,16.36
2010,cars-and-other-motor-vehicles,age-30-to-39,34.78
2011,motorcycle-riders,age-30-to-39,8.0
2011,cars-and-other-motor-vehicles,age-30-to-39,24.64
2012,motorcycle-riders,age-30-to-39,20.59
2012,cars-and-other-motor-vehicles,age-30-to-39,41.27
2013,motorcycle-riders,age-30-to-39,16.67
2013,cars-and-other-motor-vehicles,age-30-to-39,41.18
2014,motorcycle-riders,age-30-to-39,14.29
2014,cars-and-other-motor-vehicles,age-30-to-39,29.63
2015,motorcycle-riders,age-30-to-39,20.0
2015,cars-and-other-motor-vehicles,age-30-to-39,21.95
2016,motorcycle-riders,age-30-to-39,5.56
2016,cars-and-other-motor-vehicles,age-30-to-39,30.14
2017,motorcycle-riders,age-30-to-39,16.67
2017,cars-and-other-motor-vehicles,age-30-to-39,36.78
2018,motorcycle-riders,age-30-to-39,17.5
2018,cars-and-other-motor-vehicles,age-30-to-39,34.62
2019,motorcycle-riders,age-30-to-39,14.29
2019,cars-and-other-motor-vehicles,age-30-to-39,30.61
2020,motorcycle-riders,age-30-to-39,16.67
2020,cars-and-other-motor-vehicles,age-30-to-39,36.17
2021,motorcycle-riders,age-30-to-39,35.71
2021,cars-and-other-motor-vehicles,age-30-to-39,38.36
1979,motorcycle-riders,age-40-and-over,70.0
1979,cars-and-other-motor-vehicles,age-40-and-over,59.8
1980,motorcycle-riders,age-40-and-over,44.44
1980,cars-and-other-motor-vehicles,age-40-and-over,65.31
1981,motorcycle-riders,age-40-and-over,62.5
1981,cars-and-other-motor-vehicles,age-40-and-over,52.78
1982,motorcycle-riders,age-40-and-over,41.18
1982,cars-and-other-motor-vehicles,age-40-and-over,57.14
1983,motorcycle-riders,age-40-and-over,23.53
1983,cars-and-other-motor-vehicles,age-40-and-over,47.78
1984,motorcycle-riders,age-40-and-over,60.0
1984,cars-and-other-motor-vehicles,age-40-and-over,46.24
1985,motorcycle-riders,age-40-and-over,26.67
1985,cars-and-other-motor-vehicles,age-40-and-over,44.68
1986,motorcycle-riders,age-40-and-over,38.1
1986,cars-and-other-motor-vehicles,age-40-and-over,39.84
1987,motorcycle-riders,age-40-and-over,45.45
1987,cars-and-other-motor-vehicles,age-40-and-over,41.67
1988,motorcycle-riders,age-40-and-over,31.25
1988,cars-and-other-motor-vehicles,age-40-and-over,32.35
1989,motorcycle-riders,age-40-and-over,47.37
1989,cars-and-other-motor-vehicles,age-40-and-over,29.91
1990,motorcycle-riders,age-40-and-over,25.0
1990,cars-and-other-motor-vehicles,age-40-and-over,29.66
1991,motorcycle-riders,age-40-and-over,36.36
1991,cars-and-other-motor-vehicles,age-40-and-over,35.48
1992,motorcycle-riders,age-40-and-over,41.18
1992,cars-and-other-motor-vehicles,age-40-and-over,26.32
1993,motorcycle-riders,age-40-and-over,26.67
1993,cars-and-other-motor-vehicles,age-40-and-over,29.9
1994,motorcycle-riders,age-40-and-over,53.33
1994,cars-and-other-motor-vehicles,age-40-and-over,25.22
1995,motorcycle-riders,age-40-and-over,26.09
1995,cars-and-other-motor-vehicles,age-40-and-over,31.09
1996,motorcycle-riders,age-40-and-over,20.0
1996,cars-and-other-motor-vehicles,age-40-and-over,23.39
1997,motorcycle-riders,age-40-and-over,20.83
1997,cars-and-other-motor-vehicles,age-40-and-over,29.27
1998,motorcycle-riders,age-40-and-over,21.05
1998,cars-and-other-motor-vehicles,age-40-and-over,23.81
1999,motorcycle-riders,age-40-and-over,5.88
1999,cars-and-other-motor-vehicles,age-40-and-over,16.67
2000,motorcycle-riders,age-40-and-over,15.38
2000,cars-and-other-motor-vehicles,age-40-and-over,28.79
2001,motorcycle-riders,age-40-and-over,3.03
2001,cars-and-other-motor-vehicles,age-40-and-over,32.19
2002,motorcycle-riders,age-40-and-over,5.41
2002,cars-and-other-motor-vehicles,age-40-and-over,36.22
2003,motorcycle-riders,age-40-and-over,26.0
2003,cars-and-other-motor-vehicles,age-40-and-over,34.45
2004,motorcycle-riders,age-40-and-over,27.91
2004,cars-and-other-motor-vehicles,age-40-and-over,42.37
2005,motorcycle-riders,age-40-and-over,10.97
2005,cars-and-other-motor-vehicles,age-40-and-over,12.5
2006,motorcycle-riders,age-40-and-over,9.27
2006,cars-and-other-motor-vehicles,age-40-and-over,16.91
2007,motorcycle-riders,age-40-and-over,8.28
2007,cars-and-other-motor-vehicles,age-40-and-over,13.33
2008,motorcycle-riders,age-40-and-over,6.75
2008,cars-and-other-motor-vehicles,age-40-and-over,12.5
2009,motorcycle-riders,age-40-and-over,11.92
2009,cars-and-other-motor-vehicles,age-40-and-over,13.1
2010,motorcycle-riders,age-40-and-over,1.55
2010,cars-and-other-motor-vehicles,age-40-and-over,12.23
2011,motorcycle-riders,age-40-and-over,7.69
2011,cars-and-other-motor-vehicles,age-40-and-over,9.72
2012,motorcycle-riders,age-40-and-over,2.97
2012,cars-and-other-motor-vehicles,age-40-and-over,11.49
2013,motorcycle-riders,age-40-and-over,4.59
2013,cars-and-other-motor-vehicles,age-40-and-over,12.02
2014,motorcycle-riders,age-40-and-over,5.77
2014,cars-and-other-motor-vehicles,age-40-and-over,12.18
2015,motorcycle-riders,age-40-and-over,4.72
2015,cars-and-other-motor-vehicles,age-40-and-over,9.52
2016,motorcycle-riders,age-40-and-over,6.25
2016,cars-and-other-motor-vehicles,age-40-and-over,13.44
2017,motorcycle-riders,age-40-and-over,7.48
2017,cars-and-other-motor-vehicles,age-40-and-over,13.98
2018,motorcycle-riders,age-40-and-over,3.94
2018,cars-and-other-motor-vehicles,age-40-and-over,9.64
2019,motorcycle-riders,age-40-and-over,7.14
2019,cars-and-other-motor-vehicles,age-40-and-over,13.97
2020,motorcycle-riders,age-40-and-over,3.85
2020,cars-and-other-motor-vehicles,age-40-and-over,14.6
2021,motorcycle-riders,age-40-and-over,3.64
2021,cars-and-other-motor-vehicles,age-40-and-over,11.54
1979,motorcycle-riders,total,63.96
1979,cars-and-other-motor-vehicles,total,68.42
1980,motorcycle-riders,total,60.99
1980,cars-and-other-motor-vehicles,total,66.88
1981,motorcycle-riders,total,58.97
1981,cars-and-other-motor-vehicles,total,62.84
1982,motorcycle-riders,total,61.57
1982,cars-and-other-motor-vehicles,total,70.51
1983,motorcycle-riders,total,47.01
1983,cars-and-other-motor-vehicles,total,65.54
1984,motorcycle-riders,total,57.71
1984,cars-and-other-motor-vehicles,total,58.49
1985,motorcycle-riders,total,49.43
1985,cars-and-other-motor-vehicles,total,60.51
1986,motorcycle-riders,total,50.0
1986,cars-and-other-motor-vehicles,total,56.67
1987,motorcycle-riders,total,50.0
1987,cars-and-other-motor-vehicles,total,53.05
1988,motorcycle-riders,total,55.49
1988,cars-and-other-motor-vehicles,total,51.77
1989,motorcycle-riders,total,47.67
1989,cars-and-other-motor-vehicles,total,49.1
1990,motorcycle-riders,total,47.59
1990,cars-and-other-motor-vehicles,total,45.36
1991,motorcycle-riders,total,40.0
1991,cars-and-other-motor-vehicles,total,46.34
1992,motorcycle-riders,total,46.94
1992,cars-and-other-motor-vehicles,total,40.17
1993,motorcycle-riders,total,33.64
1993,cars-and-other-motor-vehicles,total,47.02
1994,motorcycle-riders,total,36.89
1994,cars-and-other-motor-vehicles,total,42.44
1995,motorcycle-riders,total,30.4
1995,cars-and-other-motor-vehicles,total,42.94
1996,motorcycle-riders,total,28.95
1996,cars-and-other-motor-vehicles,total,44.22
1997,motorcycle-riders,total,30.22
1997,cars-and-other-motor-vehicles,total,41.64
1998,motorcycle-riders,total,31.25
1998,cars-and-other-motor-vehicles,total,38.08
1999,motorcycle-riders,total,20.62
1999,cars-and-other-motor-vehicles,total,39.9
2000,motorcycle-riders,total,23.08
2000,cars-and-other-motor-vehicles,total,45.53
2001,motorcycle-riders,total,21.3
2001,cars-and-other-motor-vehicles,total,43.47
2002,motorcycle-riders,total,23.31
2002,cars-and-other-motor-vehicles,total,48.82
2003,motorcycle-riders,total,32.11
2003,cars-and-other-motor-vehicles,total,48.84
2004,motorcycle-riders,total,34.78
2004,cars-and-other-motor-vehicles,total,53.68
2005,motorcycle-riders,total,12.94
2005,cars-and-other-motor-vehicles,total,24.1
2006,motorcycle-riders,total,12.53
2006,cars-and-other-motor-vehicles,total,26.24
2007,motorcycle-riders,total,10.93
2007,cars-and-other-motor-vehicles,total,22.41
2008,motorcycle-riders,total,8.84
2008,cars-and-other-motor-vehicles,total,23.9
2009,motorcycle-riders,total,11.22
2009,cars-and-other-motor-vehicles,total,25.29
2010,motorcycle-riders,total,8.59
2010,cars-and-other-motor-vehicles,total,21.97
2011,motorcycle-riders,total,9.62
2011,cars-and-other-motor-vehicles,total,18.74
2012,motorcycle-riders,total,6.4
2012,cars-and-other-motor-vehicles,total,24.38
2013,motorcycle-riders,total,8.74
2013,cars-and-other-motor-vehicles,total,20.97
2014,motorcycle-riders,total,9.57
2014,cars-and-other-motor-vehicles,total,20.42
2015,motorcycle-riders,total,8.72
2015,cars-and-other-motor-vehicles,total,17.15
2016,motorcycle-riders,total,7.76
2016,cars-and-other-motor-vehicles,total,21.26
2017,motorcycle-riders,total,8.81
2017,cars-and-other-motor-vehicles,total,22.22
2018,motorcycle-riders,total,6.9
2018,cars-and-other-motor-vehicles,total,19.24
2019,motorcycle-riders,total,12.18
2019,cars-and-other-motor-vehicles,total,20.43
2020,motorcycle-riders,total,8.98
2020,cars-and-other-motor-vehicles,total,23.22
2021,motorcycle-riders,total,13.55
2021,cars-and-other-motor-vehicles,total,25.15
